tokens,freq,part
didnt,3,r
half,3,a
light,3,n
parent,3,n
give,3,v
yes,3,r
bastard,3,n
ğŸ˜‘,3,r
carri,3,v
moment,3,n
also,3,r
ğŸ˜,3,r
effect,3,n
code,3,n
buy,3,v
mani,3,r
fall,3,v
stop,3,v
believ,3,v
lord,3,n
ur,3,a
share,3,v
ğŸ¤¦ğŸ½â€â™€,3,r
sudden,3,a
next,3,a
result,3,n
ulcer,3,n
happen,3,v
catarrh,3,n
strength,3,n
hope,3,v
mi,3,a
fight,3,n
ï¿¼,3,r
enter,3,v
ğŸƒğŸ¿â€â™€,3,r
me,3,n
pepper,3,n
la,3,r
money,3,n
ti,3,r
phone,3,n
period,3,n
wors,3,a
brother,3,n
ğŸ¤¦ğŸ½â€â™‚,3,r
hook,3,n
mehn,3,r
person,3,n
tell,3,v
anti,3,a
disappear,3,v
treatment,3,n
easi,3,a
brought,3,v
seem,3,v
guy,3,n
definit,3,r
ğŸ¤«,3,r
swallow,3,v
ğŸ¤,3,r
alreadi,3,r
ğŸ¤¦ğŸ¿,3,r
ask,3,v
ğŸ˜“,3,r
cure,3,v
sleep,3,v
rant,3,v
home,3,n
again,3,r
right,3,a
fit,3,a
wear,3,v
medic,3,a
long,3,a
told,3,v
sha,3,n
point,3,n
fever,3,n
hour,3,n
minut,3,n
as,3,r
wetin,4,v
soap,4,n
nice,4,a
doesnt,4,r
1,4,r
3,4,r
dear,4,a
understand,4,v
cover,4,v
tri,4,a
ğŸ’ªğŸ»,4,r
kill,4,v
done,4,v
first,4,a
caus,4,n
break,4,v
kick,4,v
battl,4,n
med,4,n
morn,4,n
ğŸ˜¥,4,r
much,4,r
run,4,v
got,4,v
eye,4,n
could,4,r
ğŸ˜,4,r
liquoros,4,n
sever,4,v
wey,4,n
wont,4,r
de,4,r
lost,4,a
sign,4,n
charger,4,n
crazi,4,a
â€œ,4,r
ğŸ˜,4,r
health,4,n
medicin,4,n
broke,4,v
small,4,a
final,4,a
tast,4,v
help,4,v
ğŸ¥²,4,r
ever,4,r
way,4,n
serious,4,a
weekend,4,n
turn,4,n
what,4,r
would,4,r
eat,4,v
worst,4,a
weather,4,n
care,4,v
ment,4,n
may,4,r
weak,5,a
spoil,5,v
came,5,v
yesterday,5,n
love,5,v
year,5,n
ğŸ¤¢,5,r
alway,5,r
ğŸ˜·,5,r
aa,5,r
call,5,v
smell,5,n
pray,5,v
kind,5,a
let,5,v
gas,5,n
data,5,n
tomorrow,5,n
allah,5,n
ğŸ˜–,5,r
life,5,n
hospit,5,n
symptom,5,n
till,5,r
thank,5,v
die,5,v
ğŸ˜…,5,r
parasit,5,n
said,6,v
co,6,r
abeg,6,v
ğŸ¤•,6,r
must,6,r
peopl,6,n
someon,6,n
e,6,r
/,6,r
hot,6,a
throat,6,n
two,6,a
#malaria,6,r
went,7,v
thing,7,n
ğŸ˜’,7,r
deal,7,n
recov,7,n
â€¦,7,r
look,7,v
cold,7,a
leav,7,v
never,7,r
pls,7,r
ğŸ˜”,7,r
2,7,r
mosquito,7,n
everi,8,r
ğŸ˜«,8,r
her,8,n
make,8,v
),8,r
head,8,n
wan,8,v
use,8,v
water,8,n
ğŸ¥º,8,r
omo,8,a
(,8,r
man,8,n
good,8,a
almost,8,r
shege,9,n
sinc,9,r
heal,9,v
night,9,n
want,9,v
tire,9,a
ive,9,n
ğŸ¥¹,9,r
cant,9,r
hate,9,v
realli,9,r
ill,10,a
ğŸ¤§,10,r
work,10,v
"""",10,r
pleas,10,r
your,10,a
dont,10,r
ğŸ’”,10,r
headach,10,n
month,11,n
week,11,n
inject,11,v
test,11,n
u,11,n
ğŸ™,11,r
come,11,v
typhoid,11,n
think,11,v
today,11,n
even,12,r
&,12,r
need,12,v
pain,12,n
ğŸ˜ª,12,r
amp,12,n
o,12,r
show,12,v
last,13,a
one,13,a
bodi,15,n
+,15,r
time,15,n
still,16,r
back,16,n
say,16,v
see,16,v
take,16,v
know,17,v
treat,17,v
na,17,r
well,18,r
start,18,v
god,19,n
ğŸ˜©,19,r
sick,20,a
ï¸,22,r
get,23,v
finish,23,v
feel,24,v
day,24,n
dey,26,n
do,27,v
drug,31,n
like,36,v
go,37,v
!,44,r
?,46,r
im,47,n
ğŸ˜‚,50,r
tweturl,69,r
ğŸ˜­,76,r
my,87,a
this,109,a
malaria,313,n
